Location,Indicator,Period,First Tooltip
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,18.0 [14.6-22.4]
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,18.2 [14.7-22.6]
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,18.3 [14.8-22.9]
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,18.5 [14.9-23.0]
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,18.6 [15.0-23.1]
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,18.8 [15.1-23.3]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,34.8 [29.3-40.0]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,34.6 [29.7-39.3]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,34.4 [30.0-38.9]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,34.3 [30.2-38.4]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,34.3 [30.5-38.2]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,34.3 [30.5-38.0]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,34.3 [30.5-38.1]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,34.4 [30.6-38.2]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,34.5 [30.6-38.3]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,34.6 [30.6-38.5]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,34.8 [30.8-38.8]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,35.0 [31.0-39.1]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,35.3 [31.2-39.4]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,35.4 [31.5-39.6]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,35.6 [31.8-39.7]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,35.8 [31.9-39.9]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,35.9 [32.0-40.0]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,36.0 [32.1-40.1]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,36.2 [32.1-40.4]
Eastern Mediterranean,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,36.6 [32.2-41.1]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,15.3 [11.8-19.5]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,15.1 [12.0-19.0]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,15.0 [12.1-18.5]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,14.9 [12.2-18.1]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,14.9 [12.3-18.0]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,15.0 [12.5-17.8]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,15.1 [12.6-17.8]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,15.2 [12.8-17.9]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,15.5 [13.1-18.1]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,15.8 [13.3-18.3]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,16.1 [13.7-18.7]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,16.5 [14.0-19.0]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,16.9 [14.3-19.3]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,17.2 [14.6-19.7]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,17.5 [14.8-20.0]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,17.8 [15.0-20.4]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,18.0 [15.2-20.7]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,18.3 [15.3-21.1]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,18.6 [15.6-21.6]
Americas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,19.0 [15.8-22.3]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,39.8 [36.0-43.9]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,39.7 [36.2-43.1]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,39.6 [36.4-42.8]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,39.6 [36.5-42.7]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,39.7 [36.6-42.6]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,39.7 [36.7-42.6]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,39.8 [36.8-42.8]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,40.0 [37.0-43.1]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,40.3 [37.2-43.4]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,40.8 [37.5-44.0]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,41.3 [38.0-44.6]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,41.9 [38.5-45.2]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,42.5 [39.1-45.9]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,43.1 [39.6-46.6]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,43.6 [40.1-47.2]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,44.1 [40.5-47.7]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,44.6 [41.0-48.2]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,45.0 [41.2-48.7]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,45.4 [41.3-49.3]
Africa,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,45.8 [41.6-49.9]
