Location,Indicator,Period,First Tooltip
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,34.4 [18.1-55.9]
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,34.8 [18.3-56.0]
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,35.2 [18.6-56.6]
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,35.6 [18.8-57.4]
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,36.0 [19.2-57.5]
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,36.5 [19.4-58.1]
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,37.0 [19.7-58.7]
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,37.7 [19.8-59.7]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,12.0 [5.9-28.2]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,11.7 [5.9-26.1]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,11.4 [6.0-25.6]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,11.1 [6.0-24.6]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,10.9 [6.0-23.6]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,10.8 [6.0-22.8]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,10.6 [6.0-21.9]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,10.5 [6.0-21.9]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,10.4 [6.0-22.1]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,10.3 [5.9-22.6]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,10.3 [5.9-22.9]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,10.3 [5.8-22.9]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,10.3 [5.8-22.9]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,10.4 [5.8-23.0]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,10.4 [5.8-23.0]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,10.4 [5.8-23.3]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,10.4 [5.8-23.8]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,10.5 [5.8-23.7]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,10.6 [5.7-23.7]
Andorra,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,10.7 [5.7-23.9]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,44.0 [26.7-63.2]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,44.1 [28.1-61.9]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,44.2 [29.1-61.0]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,44.3 [30.1-59.8]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,44.4 [30.9-58.7]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,44.6 [31.4-58.5]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,45.0 [32.7-57.9]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,45.3 [33.5-57.4]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,45.7 [34.2-57.0]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,46.3 [35.4-57.3]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,47.1 [36.2-57.7]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,48.0 [37.2-58.7]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,48.7 [38.1-58.8]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,49.1 [38.8-59.4]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,49.6 [39.0-60.3]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,50.1 [39.3-61.0]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,50.5 [39.3-61.8]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,50.9 [38.9-62.8]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,51.1 [38.4-63.9]
Angola,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,51.4 [37.7-65.1]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,17.2 [7.1-36.3]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,17.0 [7.3-35.1]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,16.8 [7.3-34.0]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,16.6 [7.4-33.4]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,16.5 [7.4-33.4]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,16.5 [7.4-33.0]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,16.5 [7.5-32.8]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,16.6 [7.5-32.6]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,16.7 [7.6-32.8]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,17.0 [7.8-32.8]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,17.4 [7.9-33.5]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,17.8 [8.1-34.4]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,18.4 [8.3-35.1]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,19.0 [8.6-36.1]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,19.5 [8.9-36.6]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,20.1 [9.2-37.7]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,20.7 [9.4-38.3]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,21.1 [9.7-39.1]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,21.5 [9.8-39.9]
Antigua and Barbuda,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,21.9 [9.8-40.5]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,11.6 [4.5-24.9]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,11.4 [4.7-23.9]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,11.5 [4.9-23.0]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,11.5 [5.1-22.6]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,11.7 [5.2-22.3]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,11.9 [5.3-22.3]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,12.1 [5.5-22.6]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,12.3 [5.6-22.5]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,12.7 [5.8-22.9]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,13.0 [6.0-23.4]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,13.4 [6.1-23.8]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,13.8 [6.4-24.5]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,14.2 [6.6-24.9]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,14.5 [6.7-25.6]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,15.0 [6.9-26.3]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,15.3 [6.9-26.6]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,15.4 [6.8-27.0]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,15.4 [6.7-27.2]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,15.5 [6.7-27.7]
Argentina,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,15.7 [6.7-28.5]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,17.2 [10.4-27.3]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,17.1 [11.1-26.0]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,17.0 [11.6-24.9]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,17.0 [12.0-24.1]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,17.0 [12.2-23.8]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,17.2 [12.5-23.7]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,17.4 [12.6-23.8]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,17.5 [12.5-23.8]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,17.7 [12.5-23.9]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,18.0 [12.6-24.2]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,18.4 [12.9-24.8]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,18.9 [13.4-25.4]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,19.3 [13.8-25.6]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,19.6 [14.0-25.9]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,19.9 [14.3-26.3]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,20.2 [14.7-26.6]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,20.4 [14.7-27.1]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,20.4 [14.6-27.5]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,20.3 [14.4-27.8]
Armenia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,20.2 [14.1-28.3]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,8.2 [5.0-15.0]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,7.9 [5.0-13.5]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,7.7 [5.1-12.4]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,7.5 [5.2-11.5]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,7.3 [5.2-10.8]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,7.2 [5.2-10.3]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,7.1 [5.2-9.9]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,7.1 [5.2-9.8]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,7.1 [5.3-9.8]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,7.1 [5.2-9.8]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,7.1 [5.2-9.9]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,7.1 [5.2-10.1]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,7.2 [5.1-10.4]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,7.2 [5.1-10.4]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,7.2 [5.1-10.6]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,7.3 [5.0-10.8]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,7.4 [5.0-11.3]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,7.5 [4.9-11.7]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,7.6 [4.9-12.2]
Australia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,7.8 [4.9-13.0]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,12.9 [6.0-29.2]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,12.6 [6.1-27.6]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,12.3 [6.1-26.6]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,12.0 [6.2-25.5]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,11.8 [6.2-25.1]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,11.6 [6.2-24.7]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,11.5 [6.2-24.4]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,11.3 [6.1-24.5]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,11.3 [6.1-24.3]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,11.2 [6.1-24.5]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,11.2 [6.1-24.6]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,11.2 [6.1-24.3]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,11.2 [6.1-24.8]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,11.2 [6.1-24.7]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,11.2 [6.1-24.4]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,11.2 [6.1-24.3]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,11.2 [6.1-24.4]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,11.3 [6.0-24.6]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,11.4 [6.0-24.8]
Austria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,11.5 [6.0-25.5]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,35.1 [21.9-50.7]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,34.8 [22.9-48.8]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,34.7 [23.9-47.4]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,34.6 [24.8-45.9]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,34.6 [25.9-44.5]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,34.5 [26.6-43.3]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,34.6 [27.0-42.7]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,34.7 [27.4-42.3]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,35.0 [27.7-42.4]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,35.4 [28.3-42.7]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,36.0 [28.8-43.4]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,36.7 [29.6-44.3]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,37.5 [30.4-45.1]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,38.5 [31.0-46.5]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,39.3 [31.4-47.9]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,39.8 [31.6-48.7]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,40.1 [31.3-49.5]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,40.3 [30.9-50.3]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,40.6 [30.6-51.3]
Azerbaijan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,41.1 [30.1-52.8]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,14.4 [5.5-32.1]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,14.0 [5.5-31.0]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,13.6 [5.5-30.0]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,13.5 [5.5-29.3]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,13.3 [5.6-28.3]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,13.2 [5.7-27.8]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,13.2 [5.7-27.7]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,13.2 [5.8-27.6]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,13.5 [5.9-28.0]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,13.9 [6.1-28.7]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,14.1 [6.2-29.0]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,14.5 [6.4-29.6]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,14.8 [6.5-30.4]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,15.2 [6.7-30.6]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,15.5 [6.8-31.1]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,15.7 [6.9-31.7]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,16.0 [7.0-32.1]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,16.3 [7.1-32.5]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,16.7 [7.2-33.7]
Bahamas,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,17.3 [7.3-35.0]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,35.5 [17.1-57.3]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,35.6 [18.0-56.6]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,35.6 [18.6-55.7]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,35.7 [19.2-54.9]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,35.7 [19.3-54.2]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,35.9 [19.8-54.1]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,36.2 [20.3-53.7]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,36.4 [20.9-53.4]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,36.6 [21.3-53.4]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,37.0 [21.5-53.6]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,37.5 [22.3-54.1]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,38.2 [23.0-54.3]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,38.9 [23.8-54.5]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,39.6 [24.5-54.8]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,40.3 [25.2-55.2]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,40.9 [25.9-55.6]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,41.5 [26.4-56.2]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,42.1 [27.0-56.8]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,42.9 [27.6-57.6]
Bahrain,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,43.7 [27.8-59.4]
Bangladesh,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,36.5 [21.7-53.0]
Bangladesh,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,36.2 [22.7-51.0]
Bangladesh,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,35.9 [23.4-49.5]
Bangladesh,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,35.7 [24.2-48.3]
Bangladesh,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,35.5 [24.9-47.2]
Bangladesh,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,35.4 [25.1-46.2]
Bangladesh,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,35.3 [25.4-45.5]
Bangladesh,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,35.3 [25.5-45.2]
Bangladesh,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,35.2 [25.6-44.9]
